Dataset                      Metric                   metric valor     e    n
../datasets_2/kemerer.arff   MAE                        64.9809      400   75
../datasets_2/kemerer.arff   Median Absolute Error      53.4517      400   75
../datasets_2/kemerer.arff   RMSE                       69.6405      400   75
../datasets_2/kemerer.arff   R2 Score                   -6.67566     400   75
../datasets_2/kemerer.arff   MAE                        60.0196      400  100
../datasets_2/kemerer.arff   Median Absolute Error      47.9717      400  100
../datasets_2/kemerer.arff   RMSE                       64.8513      400  100
../datasets_2/kemerer.arff   R2 Score                   -5.65623     400  100
../datasets_2/kemerer.arff   MAE                        79.6849      500   25
../datasets_2/kemerer.arff   Median Absolute Error      68.2505      500   25
../datasets_2/kemerer.arff   RMSE                       83.5551      500   25
../datasets_2/kemerer.arff   R2 Score                  -10.0494      500   25
../datasets_2/kemerer.arff   MAE                        69.2601      500   50
../datasets_2/kemerer.arff   Median Absolute Error      57.8373      500   50
../datasets_2/kemerer.arff   RMSE                       73.6866      500   50
../datasets_2/kemerer.arff   R2 Score                   -7.59347     500   50
../datasets_2/kemerer.arff   MAE                        60.3331      500   75
../datasets_2/kemerer.arff   Median Absolute Error      48.4232      500   75
../datasets_2/kemerer.arff   RMSE                       65.1887      500   75
../datasets_2/kemerer.arff   R2 Score                   -5.72567     500   75
../datasets_2/kemerer.arff   MAE                        50.6523      500  100
../datasets_2/kemerer.arff   Median Absolute Error      38.0936      500  100
../datasets_2/kemerer.arff   RMSE                       56.0957      500  100
../datasets_2/kemerer.arff   R2 Score                   -3.98024     500  100
../datasets_2/kemerer.arff   MAE                        78.2995      600   25
../datasets_2/kemerer.arff   Median Absolute Error      66.8648      600   25
../datasets_2/kemerer.arff   RMSE                       82.235       600   25
../datasets_2/kemerer.arff   R2 Score                   -9.70298     600   25
../datasets_2/kemerer.arff   MAE                        67.5294      600   50
../datasets_2/kemerer.arff   Median Absolute Error      56.0453      600   50
../datasets_2/kemerer.arff   RMSE                       72.04        600   50
../datasets_2/kemerer.arff   R2 Score                   -7.21371     600   50
../datasets_2/kemerer.arff   MAE                        54.7743      600   75
../datasets_2/kemerer.arff   Median Absolute Error      43.0283      600   75
../datasets_2/kemerer.arff   RMSE                       60.1426      600   75
../datasets_2/kemerer.arff   R2 Score                   -4.72474     600   75
../datasets_2/kemerer.arff   MAE                        44.2709      600  100
../datasets_2/kemerer.arff   Median Absolute Error      31.1441      600  100
../datasets_2/kemerer.arff   RMSE                       50.2158      600  100
../datasets_2/kemerer.arff   R2 Score                   -2.9909      600  100
../datasets_2/kemerer.arff   MAE                        77.3621      700   25
../datasets_2/kemerer.arff   Median Absolute Error      65.9281      700   25
../datasets_2/kemerer.arff   RMSE                       81.3429      700   25
../datasets_2/kemerer.arff   R2 Score                   -9.47203     700   25
../datasets_2/kemerer.arff   MAE                        61.461       700   50
../datasets_2/kemerer.arff   Median Absolute Error      49.9081      700   50
../datasets_2/kemerer.arff   RMSE                       66.3591      700   50
../datasets_2/kemerer.arff   R2 Score                   -5.96936     700   50
../datasets_2/kemerer.arff   MAE                        46.1167      700   75
../datasets_2/kemerer.arff   Median Absolute Error      34.3232      700   75
../datasets_2/kemerer.arff   RMSE                       52.3612      700   75
../datasets_2/kemerer.arff   R2 Score                   -3.33921     700   75
../datasets_2/kemerer.arff   MAE                        37.8256      700  100
../datasets_2/kemerer.arff   Median Absolute Error      23.1169      700  100
../datasets_2/kemerer.arff   RMSE                       43.8788      700  100
../datasets_2/kemerer.arff   R2 Score                   -2.04719     700  100
../datasets_2/kemerer.arff   MAE                        74.6679      800   25
../datasets_2/kemerer.arff   Median Absolute Error      63.2344      800   25
../datasets_2/kemerer.arff   RMSE                       78.7853      800   25
../datasets_2/kemerer.arff   R2 Score                   -8.82385     800   25
../datasets_2/kemerer.arff   MAE                        54.9915      800   50
../datasets_2/kemerer.arff   Median Absolute Error      43.3829      800   50
../datasets_2/kemerer.arff   RMSE                       60.3751      800   50
../datasets_2/kemerer.arff   R2 Score                   -4.76908     800   50
../datasets_2/kemerer.arff   MAE                        42.6886      800   75
../datasets_2/kemerer.arff   Median Absolute Error      29.2743      800   75
../datasets_2/kemerer.arff   RMSE                       48.6486      800   75
../datasets_2/kemerer.arff   R2 Score                   -2.74569     800   75
../datasets_2/kemerer.arff   MAE                        31.4182      800  100
../datasets_2/kemerer.arff   Median Absolute Error      16.1627      800  100
../datasets_2/kemerer.arff   RMSE                       38.2135      800  100
../datasets_2/kemerer.arff   R2 Score                   -1.31113     800  100
../datasets_2/kemerer.arff   MAE                        70.9282      900   25
../datasets_2/kemerer.arff   Median Absolute Error      59.4944      900   25
../datasets_2/kemerer.arff   RMSE                       75.2504      900   25
../datasets_2/kemerer.arff   R2 Score                   -7.96208     900   25
../datasets_2/kemerer.arff   MAE                        55.9951      900   50
../datasets_2/kemerer.arff   Median Absolute Error      44.003       900   50
../datasets_2/kemerer.arff   RMSE                       61.1613      900   50
../datasets_2/kemerer.arff   R2 Score                   -4.92032     900   50
../datasets_2/kemerer.arff   MAE                        44.3361      900   75
../datasets_2/kemerer.arff   Median Absolute Error      29.2985      900   75
../datasets_2/kemerer.arff   RMSE                       49.5265      900   75
../datasets_2/kemerer.arff   R2 Score                   -2.8821      900   75
../datasets_2/kemerer.arff   MAE                        30.5833      900  100
../datasets_2/kemerer.arff   Median Absolute Error      17.6041      900  100
../datasets_2/kemerer.arff   RMSE                       37.0767      900  100
../datasets_2/kemerer.arff   R2 Score                   -1.17567     900  100
../datasets_2/kemerer.arff   MAE                        68.4446     1000   25
../datasets_2/kemerer.arff   Median Absolute Error      57.0107     1000   25
../datasets_2/kemerer.arff   RMSE                       72.9141     1000   25
../datasets_2/kemerer.arff   R2 Score                   -7.41423    1000   25
../datasets_2/kemerer.arff   MAE                        46.8087     1000   50
../datasets_2/kemerer.arff   Median Absolute Error      34.1004     1000   50
../datasets_2/kemerer.arff   RMSE                       52.5705     1000   50
../datasets_2/kemerer.arff   R2 Score                   -3.37397    1000   50
../datasets_2/kemerer.arff   MAE                        34.5694     1000   75
../datasets_2/kemerer.arff   Median Absolute Error      19.802      1000   75
../datasets_2/kemerer.arff   RMSE                       41.054      1000   75
../datasets_2/kemerer.arff   R2 Score                   -1.66749    1000   75
../datasets_2/kemerer.arff   MAE                        29.8259     1000  100
../datasets_2/kemerer.arff   Median Absolute Error      21.304      1000  100
../datasets_2/kemerer.arff   RMSE                       35.783      1000  100
../datasets_2/kemerer.arff   R2 Score                   -1.02649    1000  100
../datasets_2/cocomo81.arff  MAE                       793.188       100   25
../datasets_2/cocomo81.arff  Median Absolute Error     119.016       100   25
../datasets_2/cocomo81.arff  RMSE                     1843.79        100   25
../datasets_2/cocomo81.arff  R2 Score                   -0.227002    100   25
../datasets_2/cocomo81.arff  MAE                       787.364       100   50
../datasets_2/cocomo81.arff  Median Absolute Error     110.927       100   50
../datasets_2/cocomo81.arff  RMSE                     1840.31        100   50
../datasets_2/cocomo81.arff  R2 Score                   -0.222374    100   50
../datasets_2/cocomo81.arff  MAE                       784.674       100   75
../datasets_2/cocomo81.arff  Median Absolute Error     106.745       100   75
../datasets_2/cocomo81.arff  RMSE                     1838.57        100   75
../datasets_2/cocomo81.arff  R2 Score                   -0.220076    100   75
../datasets_2/cocomo81.arff  MAE                       781.503       100  100
../datasets_2/cocomo81.arff  Median Absolute Error     100.942       100  100
../datasets_2/cocomo81.arff  RMSE                     1836.11        100  100
../datasets_2/cocomo81.arff  R2 Score                   -0.216812    100  100
../datasets_2/cocomo81.arff  MAE                       789.625       200   25
../datasets_2/cocomo81.arff  Median Absolute Error     114.213       200   25
../datasets_2/cocomo81.arff  RMSE                     1841.68        200   25
../datasets_2/cocomo81.arff  R2 Score                   -0.224197    200   25
../datasets_2/cocomo81.arff  MAE                       781.982       200   50
../datasets_2/cocomo81.arff  Median Absolute Error     101.874       200   50
../datasets_2/cocomo81.arff  RMSE                     1836.43        200   50
../datasets_2/cocomo81.arff  R2 Score                   -0.217228    200   50
../datasets_2/cocomo81.arff  MAE                       776.751       200   75
../datasets_2/cocomo81.arff  Median Absolute Error      92.2157      200   75
../datasets_2/cocomo81.arff  RMSE                     1832.37        200   75
../datasets_2/cocomo81.arff  R2 Score                   -0.211849    200   75
../datasets_2/cocomo81.arff  MAE                       772.738       200  100
../datasets_2/cocomo81.arff  Median Absolute Error      84.8902      200  100
../datasets_2/cocomo81.arff  RMSE                     1829.35        200  100
../datasets_2/cocomo81.arff  R2 Score                   -0.207859    200  100
../datasets_2/cocomo81.arff  MAE                       785.84        300   25
../datasets_2/cocomo81.arff  Median Absolute Error     108.763       300   25
../datasets_2/cocomo81.arff  RMSE                     1839.35        300   25
../datasets_2/cocomo81.arff  R2 Score                   -0.221103    300   25
../datasets_2/cocomo81.arff  MAE                       778.187       300   50
../datasets_2/cocomo81.arff  Median Absolute Error      94.8806      300   50
../datasets_2/cocomo81.arff  RMSE                     1833.48        300   50
../datasets_2/cocomo81.arff  R2 Score                   -0.21333     300   50
../datasets_2/cocomo81.arff  MAE                       770.448       300   75
../datasets_2/cocomo81.arff  Median Absolute Error      80.2021      300   75
../datasets_2/cocomo81.arff  RMSE                     1827.38        300   75
../datasets_2/cocomo81.arff  R2 Score                   -0.205261    300   75
../datasets_2/cocomo81.arff  MAE                       764.978       300  100
../datasets_2/cocomo81.arff  Median Absolute Error      67.1779      300  100
../datasets_2/cocomo81.arff  RMSE                     1822.02        300  100
../datasets_2/cocomo81.arff  R2 Score                   -0.198208    300  100
../datasets_2/cocomo81.arff  MAE                       783.331       400   25
../datasets_2/cocomo81.arff  Median Absolute Error     104.356       400   25
../datasets_2/cocomo81.arff  RMSE                     1837.48        400   25
../datasets_2/cocomo81.arff  R2 Score                   -0.218621    400   25
../datasets_2/cocomo81.arff  MAE                       773.689       400   50
../datasets_2/cocomo81.arff  Median Absolute Error      86.8615      400   50
../datasets_2/cocomo81.arff  RMSE                     1830.13        400   50
../datasets_2/cocomo81.arff  R2 Score                   -0.208898    400   50
../datasets_2/cocomo81.arff  MAE                       765.462       400   75
../datasets_2/cocomo81.arff  Median Absolute Error      68.4689      400   75
../datasets_2/cocomo81.arff  RMSE                     1822.55        400   75
../datasets_2/cocomo81.arff  R2 Score                   -0.1989      400   75
../datasets_2/cocomo81.arff  MAE                       761.404       400  100
../datasets_2/cocomo81.arff  Median Absolute Error      60.7368      400  100
../datasets_2/cocomo81.arff  RMSE                     1817.38        400  100
../datasets_2/cocomo81.arff  R2 Score                   -0.192112    400  100
../datasets_2/cocomo81.arff  MAE                       781.572       500   25
../datasets_2/cocomo81.arff  Median Absolute Error     101.057       500   25
../datasets_2/cocomo81.arff  RMSE                     1836.08        500   25
../datasets_2/cocomo81.arff  R2 Score                   -0.216773    500   25
../datasets_2/cocomo81.arff  MAE                       770.353       500   50
../datasets_2/cocomo81.arff  Median Absolute Error      80.6238      500   50
../datasets_2/cocomo81.arff  RMSE                     1827.55        500   50
../datasets_2/cocomo81.arff  R2 Score                   -0.205483    500   50
../datasets_2/cocomo81.arff  MAE                       758.66        500   75
../datasets_2/cocomo81.arff  Median Absolute Error      54.6672      500   75
../datasets_2/cocomo81.arff  RMSE                     1816.89        500   75
../datasets_2/cocomo81.arff  R2 Score                   -0.191466    500   75
../datasets_2/cocomo81.arff  MAE                       752.386       500  100
../datasets_2/cocomo81.arff  Median Absolute Error      63.1484      500  100
../datasets_2/cocomo81.arff  RMSE                     1809.75        500  100
../datasets_2/cocomo81.arff  R2 Score                   -0.182127    500  100
../datasets_2/cocomo81.arff  MAE                       776.793       600   25
../datasets_2/cocomo81.arff  Median Absolute Error      92.2004      600   25
../datasets_2/cocomo81.arff  RMSE                     1832.36        600   25
../datasets_2/cocomo81.arff  R2 Score                   -0.211846    600   25
../datasets_2/cocomo81.arff  MAE                       764.275       600   50
../datasets_2/cocomo81.arff  Median Absolute Error      67.6144      600   50
../datasets_2/cocomo81.arff  RMSE                     1822.17        600   50
../datasets_2/cocomo81.arff  R2 Score                   -0.198398    600   50
../datasets_2/cocomo81.arff  MAE                       757.141       600   75
../datasets_2/cocomo81.arff  Median Absolute Error      52.4024      600   75
../datasets_2/cocomo81.arff  RMSE                     1815.96        600   75
../datasets_2/cocomo81.arff  R2 Score                   -0.190241    600   75
../datasets_2/cocomo81.arff  MAE                       746.38        600  100
../datasets_2/cocomo81.arff  Median Absolute Error      56.3775      600  100
../datasets_2/cocomo81.arff  RMSE                     1805.54        600  100
../datasets_2/cocomo81.arff  R2 Score                   -0.17663     600  100
../datasets_2/cocomo81.arff  MAE                       777.223       700   25
../datasets_2/cocomo81.arff  Median Absolute Error      93.0415      700   25
../datasets_2/cocomo81.arff  RMSE                     1832.73        700   25
../datasets_2/cocomo81.arff  R2 Score                   -0.212336    700   25
../datasets_2/cocomo81.arff  MAE                       763.752       700   50
../datasets_2/cocomo81.arff  Median Absolute Error      67.4572      700   50
../datasets_2/cocomo81.arff  RMSE                     1822.09        700   50
../datasets_2/cocomo81.arff  R2 Score                   -0.1983      700   50
../datasets_2/cocomo81.arff  MAE                       749.315       700   75
../datasets_2/cocomo81.arff  Median Absolute Error      45.9088      700   75
../datasets_2/cocomo81.arff  RMSE                     1810.26        700   75
../datasets_2/cocomo81.arff  R2 Score                   -0.182791    700   75
../datasets_2/cocomo81.arff  MAE                       739.229       700  100
../datasets_2/cocomo81.arff  Median Absolute Error      71.9632      700  100
../datasets_2/cocomo81.arff  RMSE                     1798.54        700  100
../datasets_2/cocomo81.arff  R2 Score                   -0.167523    700  100
../datasets_2/cocomo81.arff  MAE                       774.985       800   25
../datasets_2/cocomo81.arff  Median Absolute Error      88.852       800   25
../datasets_2/cocomo81.arff  RMSE                     1830.97        800   25
../datasets_2/cocomo81.arff  R2 Score                   -0.209998    800   25
../datasets_2/cocomo81.arff  MAE                       756.917       800   50
../datasets_2/cocomo81.arff  Median Absolute Error      54.7313      800   50
../datasets_2/cocomo81.arff  RMSE                     1816.86        800   50
../datasets_2/cocomo81.arff  R2 Score                   -0.191428    800   50
../datasets_2/cocomo81.arff  MAE                       745.692       800   75
../datasets_2/cocomo81.arff  Median Absolute Error      51.987       800   75
../datasets_2/cocomo81.arff  RMSE                     1806.47        800   75
../datasets_2/cocomo81.arff  R2 Score                   -0.177834    800   75
../datasets_2/cocomo81.arff  MAE                       737.467       800  100
