Dataset                      Metric                    metric valor    p    k
../datasets_2/albrecht.arff  R2 Score                   0.295877       1    8
../datasets_2/albrecht.arff  MAE                       10.685          2    8
../datasets_2/albrecht.arff  Median Absolute Error      4.075          2    8
../datasets_2/albrecht.arff  RMSE                      15.3892         2    8
../datasets_2/albrecht.arff  R2 Score                   0.445496       2    8
../datasets_2/albrecht.arff  MAE                       20.4333         1    9
../datasets_2/albrecht.arff  Median Absolute Error      9.8            1    9
../datasets_2/albrecht.arff  RMSE                      33.9472         1    9
../datasets_2/albrecht.arff  R2 Score                   0.117916       1    9
../datasets_2/albrecht.arff  MAE                       15.8378         2    9
../datasets_2/albrecht.arff  Median Absolute Error      0.644444       2    9
../datasets_2/albrecht.arff  RMSE                      32.3925         2    9
../datasets_2/albrecht.arff  R2 Score                   0.248461       2    9
../datasets_2/kemerer.arff   MAE                       80.5667         1    3
../datasets_2/kemerer.arff   Median Absolute Error     90.8667         1    3
../datasets_2/kemerer.arff   RMSE                      97.4962         1    3
../datasets_2/kemerer.arff   R2 Score                -164.98           1    3
../datasets_2/kemerer.arff   MAE                       44.1222         2    3
../datasets_2/kemerer.arff   Median Absolute Error     23.5667         2    3
../datasets_2/kemerer.arff   RMSE                      63.4137         2    3
../datasets_2/kemerer.arff   R2 Score                   0.472886       2    3
../datasets_2/kemerer.arff   MAE                      323.82           1    4
../datasets_2/kemerer.arff   Median Absolute Error     93.675          1    4
../datasets_2/kemerer.arff   RMSE                     498.335          1    4
../datasets_2/kemerer.arff   R2 Score                  -0.332786       1    4
../datasets_2/kemerer.arff   MAE                       53.625          2    4
../datasets_2/kemerer.arff   Median Absolute Error     51.15           2    4
../datasets_2/kemerer.arff   RMSE                      64.5991         2    4
../datasets_2/kemerer.arff   R2 Score                   0.35816        2    4
../datasets_2/kemerer.arff   MAE                      119.587          1    5
../datasets_2/kemerer.arff   Median Absolute Error    118.68           1    5
../datasets_2/kemerer.arff   RMSE                     124.417          1    5
../datasets_2/kemerer.arff   R2 Score                 -32.2676         1    5
../datasets_2/kemerer.arff   MAE                       50.48           2    5
../datasets_2/kemerer.arff   Median Absolute Error     67.94           2    5
